provider,provider_id,season,match_date,source_date,competition,home_team,away_team,home_score,away_score,result_note,source_url
FOTMOB,2854599,2018/2019,2019-04-07,2019-04-07,阿塞超,Sabah FK,Sabail,3,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854600,2018/2019,2019-04-07,2019-04-07,阿塞超,FK Qabala,Qarabag FK,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854617,2018/2019,2019-04-13,2019-04-13,阿塞超,Qarabag FK,Sabah FK,3,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854618,2018/2019,2019-04-13,2019-04-13,阿塞超,Zira,Sumqayit,2,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854619,2018/2019,2019-04-14,2019-04-14,阿塞超,Shamakhi FK,FK Qabala,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854620,2018/2019,2019-04-14,2019-04-14,阿塞超,Sabail,FK Neftchi,2,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854621,2018/2019,2019-04-18,2019-04-18,阿塞超,Sumqayit,Sabail,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854622,2018/2019,2019-04-18,2019-04-18,阿塞超,Qarabag FK,Shamakhi FK,3,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854623,2018/2019,2019-04-19,2019-04-19,阿塞超,Sabah FK,FK Neftchi,0,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854635,2018/2019,2019-04-19,2019-04-19,阿塞超,FK Qabala,Zira,2,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FUTBOL24,7091851CC2792D91,2018-2019,2019-04-23,2019-04-23,阿塞杯,Gabala,Qarabag FK,1,0,FT,https://www.futbol24.com/match/2019/04/23/national/Azerbaijan/Kubok/2018-2019/Semifinal/Gabala/vs/Qarabag-FK
FUTBOL24,95904216EDC9BFAB,2018-2019,2019-04-23,2019-04-23,阿塞杯,Sumqayit FK,Zira FK,0,0,FT,https://www.futbol24.com/match/2019/04/23/national/Azerbaijan/Kubok/2018-2019/Semifinal/Sumqayit-FK/vs/Zira-FK
FOTMOB,2854631,2018/2019,2019-04-27,2019-04-27,阿塞超,FK Neftchi,Sumqayit,2,3,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854632,2018/2019,2019-04-27,2019-04-27,阿塞超,Sabail,FK Qabala,2,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854633,2018/2019,2019-04-27,2019-04-27,阿塞超,Zira,Qarabag FK,0,3,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854634,2018/2019,2019-04-27,2019-04-27,阿塞超,Sabah FK,Shamakhi FK,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FUTBOL24,764F3BAE506E046C,2018-2019,2019-05-01,2019-05-01,阿塞杯,Qarabag FK,Gabala,2,1,FT,https://www.futbol24.com/match/2019/05/01/national/Azerbaijan/Kubok/2018-2019/Semifinal/Qarabag-FK/vs/Gabala
FUTBOL24,92C93F72D22A9C79,2018-2019,2019-05-02,2019-05-01,阿塞杯,Zira FK,Sumqayit FK,3,3,FT,https://www.futbol24.com/match/2019/05/01/national/Azerbaijan/Kubok/2018-2019/Semifinal/Zira-FK/vs/Sumqayit-FK
FOTMOB,2854624,2018/2019,2019-05-05,2019-05-05,阿塞超,Qarabag FK,Sabail,4,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854625,2018/2019,2019-05-05,2019-05-05,阿塞超,Shamakhi FK,Zira,1,3,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854629,2018/2019,2019-05-05,2019-05-05,阿塞超,FK Qabala,FK Neftchi,1,3,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854630,2018/2019,2019-05-06,2019-05-05,阿塞超,Sumqayit,Sabah FK,1,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854626,2018/2019,2019-05-11,2019-05-11,阿塞超,Sabah FK,Zira,0,3,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854627,2018/2019,2019-05-11,2019-05-11,阿塞超,Sabail,Shamakhi FK,1,4,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854628,2018/2019,2019-05-11,2019-05-11,阿塞超,FK Neftchi,Qarabag FK,2,3,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854636,2018/2019,2019-05-11,2019-05-11,阿塞超,Sumqayit,FK Qabala,1,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FUTBOL24,0593FF045075B342,2018-2019,2019-05-19,2019-05-19,阿塞杯,Gabala,Sumqayit FK,1,0,FT,https://www.futbol24.com/match/2019/05/19/national/Azerbaijan/Kubok/2018-2019/Final/Gabala/vs/Sumqayit-FK
FOTMOB,3145627,2019/2020,2019-08-16,2019-08-16,阿塞超,Shamakhi FK,Qarabag FK,0,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2019%2F2020
FOTMOB,3145626,2019/2020,2019-08-17,2019-08-17,阿塞超,FK Qabala,Sumqayit,0,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2019%2F2020
FOTMOB,3145625,2019/2020,2019-08-19,2019-08-18,阿塞超,Sabail,Zira,1,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2019%2F2020
FOTMOB,3145628,2019/2020,2019-08-20,2019-08-19,阿塞超,FK Neftchi,Sabah FK,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2019%2F2020
